Pharmacie,Adresse_Complete,Telephone,Deja_Contacte,RDV,Action,Distance_Cite_Universitaire_km,Coordonnees,VUE
Pharmacie Clichy-Legendre,"Rue Legendre, 75017 Paris, France",+0146279091,non,,,7.718232901063276,"48.8891655, 2.3229773",non
Pharmacie des Buttes Chaumont,"Avenue Jean Jaurès, 75019 Paris, France",Non renseigné,non,,,7.730435812158787,"48.8849782, 2.3792829",non
Pharmacie Bermot Elkeslassi,"Rue Gustave Doré, 75017 Paris, France",Non renseigné,non,,,7.733104048627366,"48.8860631, 2.3037205",non
Pharmacie Carette,"Rue Lamarck, 75018 Paris, France",Non renseigné,non,,,7.7427903105173765,"48.8902021, 2.3362687",non
Pharmacie des Batignolles,"Rue Lemercier, 75017 Paris, France",Non renseigné,non,,,7.7433593920179895,"48.8889774, 2.3193555",non
Aprium,"Boulevard Pereire, 75017 Paris, France",Non renseigné,non,,,7.754242100518795,"48.8844473, 2.296777",non
Pharmacie des Deux Rues,"Rue de Meaux, 75019 Paris, France",Non renseigné,non,,,7.766127507910572,"48.8851105, 2.3800766",non
Pharmacie Lapiczak,"Boulevard Pereire, 75017 Paris, France",Non renseigné,non,,,7.766994895684761,"48.8876908, 2.3098561",non
Pharmacie Ly Cong-Kieu,"Boulevard Pereire, 75017 Paris, France",Non renseigné,non,,,7.770977621169548,"48.8841175, 2.2951026",non
Pharmacie Marcadet,"65 Boulevard Barbès, 75018 Paris, France",+33 1 46 06 96 30,non,,,7.776575836072289,"48.8902291, 2.3493538",non
Grande Pharmacie des Batignolles,"3 Place Françoise Dorin, 75017 Paris, France",+33 1 71 18 30 60,non,,,7.788451513228394,"48.8887211, 2.3146325",non
Pharmacie Moret,"Rue de Belleville, 75020 Paris, France",Non renseigné,non,,,7.791698205784999,"48.8765184, 2.4035726",non
Pharmacie Tran,"Rue Marx Dormoy, 75018 Paris, France",Non renseigné,non,,,7.792122485439664,"48.889397, 2.3596573",non
Pharmacie Delaby,"Rue Labat, 75018 Paris, France",Non renseigné,non,,,7.798322883188911,"48.8902907, 2.3513387",non
Pharmacie des sports,"Place du Général Kœnig, 75017 Paris, France",Non renseigné,non,,,7.802399015351495,"48.8809801, 2.2850743",non
Pharmacie Darmon,"Rue Damrémont, 75018 Paris, France",Non renseigné,non,,,7.813766595060453,"48.8908011, 2.3346412",non
Pharmacie Manin,"Place Jacques Féron, 75019 Paris, France",Non renseigné,non,,,7.819398184233072,"48.883322, 2.3877237",non
Pharmacie Lamarck,"Place Jacques Froment, 75018 Paris, France",Non renseigné,non,,,7.8258230930738915,"48.8907746, 2.3312473",non
Pharmacie Minel,"Avenue de Clichy, 75017 Paris, France",Non renseigné,non,,,7.837489719886292,"48.8900229, 2.3208798",non
Grande Pharmacie Marcadet,"Rue Marcadet, 75018 Paris, France",Non renseigné,non,,,7.843520444188813,"48.8911368, 2.3401386",non
Pharmacie Soussan-Aizenman,"18 Rue Simart, 75018 Paris, France",+33 1 42 54 07 68,non,,,7.8502891976300395,"48.8909793, 2.3478652",non
Pharmacie Marx Dormoy,"Rue Philippe de Girard, 75018 Paris, France",Non renseigné,non,,,7.859393077579005,"48.8899144, 2.3604238",non
Pharmacie Bloch,"Rue Dautancourt, 75017 Paris, France",Non renseigné,non,,,7.861159913360648,"48.8907224, 2.3257272",non
Pharmacie Péreire Wagram,"Boulevard Pereire, 75017 Paris, France",Non renseigné,non,,,7.8665924718371985,"48.8878408, 2.3059757",non
Pharmacie Satellite,"Avenue de Villiers, 75017 Paris, France",Non renseigné,non,,,7.867131095164152,"48.8853291, 2.2959914",non
Pharmacie Radja,"63 Rue Damrémont, 75018 Paris, France",Non renseigné,non,,,7.880046875877012,"48.8913982, 2.3346563",non
Pharmacie Pajol,"Rue Riquet, 75018 Paris, France",Non renseigné,non,,,7.890094672498259,"48.8898494, 2.3629189",non
Nom inconnu,"Rue Ordener, 75018 Paris, France",Non renseigné,non,,,7.894352586127846,"48.8904093, 2.3590431",non
Pharmacie du Square de Tocqueville,"Square de Tocqueville, 75017 Paris, France",Non renseigné,non,,,7.898102883413654,"48.8882916, 2.3066969",non
Pharmacie Baini,"Boulevard Gouvion-Saint-Cyr, 75017 Paris, France",+33 1 45 72 47 52,non,,,7.905085516155739,"48.883055, 2.2877856",non
Pharmacie Dauny,"Rue du Docteur Heulin, 75017 Paris, France",Non renseigné,non,,,7.906608885429602,"48.8910433, 2.3246815",non
Pharmacie Jaurès-Crimée,"Rue de Crimée, 75019 Paris, France",Non renseigné,non,,,7.914319857848404,"48.8860404, 2.3819393",non
Pharmacie Simar,"28 Rue Ordener, 75018 Paris, France",Non renseigné,non,,,7.9154719106354205,"48.89134, 2.351486",non
Pharmacie 75,"75 Rue Ordener, 75018 Paris, France",Non renseigné,non,,,7.918812833157374,"48.8915311, 2.3490652",non
Pharmacie 112,"Avenue Jean Jaurès, 75019 Paris, France",+33 142398134,non,,,7.92174372458274,"48.8858942, 2.3827093",non
Pharmacie Taieb,"Avenue de Flandre, 75019 Paris, France",Non renseigné,non,,,7.923208352864998,"48.8881063, 2.3740635",non
Pharmacie Héliopolis,"Rue d'Héliopolis, 75017 Paris, France",Non renseigné,non,,,7.924743114898699,"48.885224, 2.293731",non
leadersanté,"Rue Alphonse Aulard, 75019 Paris, France",Non renseigné,non,,,7.934208509043399,"48.8803605, 2.3986503",non
Pharmacie du Square Clignancourt,"43 Rue Simart, 75018 Paris, France",+33 1 46 06 38 66,non,,,7.940942972198949,"48.8918681, 2.3463492",non
Pharmacie Centrale de la Chapelle,"Rue de la Chapelle, 75018 Paris, France",Non renseigné,non,,,7.9415119720141165,"48.8907659, 2.3596503",non
Pharmacie Dauny,"40 Rue Davy, 75017 Paris, France",+33 1 42 28 26 38,non,,,7.953806205663293,"48.8914004, 2.3239088",non
Pharmacie Riquet,"Rue Riquet, 75019 Paris, France",Non renseigné,non,,,7.979887826202029,"48.8888376, 2.3731738",non
Pharmacie de la porte des Lilas,"Boulevard Mortier, 75020 Paris, France",Non renseigné,non,,,7.987621299872609,"48.8769048, 2.4071896",non
Pharmacie Les Alizés,"Avenue de Saint-Ouen, 75018 Paris, France",Non renseigné,non,,,8.003297246155148,"48.8921366, 2.3273392",non
Gondard Casabianca,"Rue Ordener, 75018 Paris, France",Non renseigné,non,,,8.014779354046437,"48.8926467, 2.3426611",non
Pharmacie Jules Joffrin,"Rue Hermel, 75018 Paris, France",Non renseigné,non,,,8.018946774187523,"48.8926144, 2.3452196",non
Pharmacie de la Chapelle,"Rue de la Chapelle, 75018 Paris, France",Non renseigné,non,,,8.02652397662903,"48.8915441, 2.3596492",non
Pharmacie du Marché,"Rue de Torcy, 75018 Paris, France",Non renseigné,non,,,8.034507574976763,"48.8913687, 2.3615676",non
Pharmacie de Paris,"Boulevard Gouvion-Saint-Cyr, 75017 Paris, France",Non renseigné,non,,,8.035361636985423,"48.8853973, 2.2907825",non
Pharmacie Européenne,"Boulevard Ornano, 75018 Paris, France",Non renseigné,non,,,8.042886253093839,"48.892647, 2.3491395",non
Pharmaice Maarek,"Boulevard Berthier, 75017 Paris, France",Non renseigné,non,,,8.051499151671951,"48.8879696, 2.2990639",non
 Pharmacie du Conservatoire  Paris,"Square du Thimerais, 75017 Paris, France",+33171706309,non,,,8.057131420762728,"48.8870821, 2.2956015",non
Pharmacie de la Porte Brunet,"Avenue de la Porte Brunet, 75019 Paris, France",Non renseigné,non,,,8.073801836679756,"48.8831921, 2.3953289",non
Pharmacie du Conservatoire,"Rue de Courcelles, 75017 Paris, France",Non renseigné,non,,,8.074967466636448,"48.887202, 2.295409",non
Pharmacie Champerret,"Rue Catulle Mendès, 75017 Paris, France",Non renseigné,non,,,8.079586397907685,"48.88616, 2.291785",non
Pharmacie 130 Ordener,"Rue Montcalm, 75018 Paris, France",Non renseigné,non,,,8.100320556223856,"48.8934462, 2.3386363",non
Pharmacie Guy Môquet,"Rue Guy Môquet, 75017 Paris, France",+33146271712,non,,,8.101387106888343,"48.8929864, 2.3268273",non
Pharmacie Sainte-Odile,"Avenue Stéphane Mallarmé, 75017 Paris, France",Non renseigné,non,,,8.104191659218925,"48.8872531, 2.2945914",non
Pharmacie les Grandes Carrières,"Rue Damrémont, 75018 Paris, France",Non renseigné,non,,,8.108942344778493,"48.8934928, 2.3360826",non
Pharmacie Hassan,"Rue Curial, 75019 Paris, France",Non renseigné,non,,,8.109255179374914,"48.8903971, 2.3715296",non
Pharmacie Zaidi,"Rue Berzélius, 75017 Paris, France",Non renseigné,non,,,8.111395372333337,"48.8921733, 2.3179808",non
Pharmacie du Marché du Poteau,"Place Charles Bernard, 75018 Paris, France",Non renseigné,non,,,8.118263622329172,"48.893575, 2.342801",non
Pharmacie Renoul Georgel,"Avenue de Saint-Ouen, 75018 Paris, France",Non renseigné,non,,,8.137864896882892,"48.8933844, 2.3277691",non
Pharmacie de la Porte d'Asnières,"Boulevard Berthier, 75017 Paris, France",Non renseigné,non,,,8.162338951267433,"48.8900719, 2.3033682",non
Paris Pharma,"Allée Darius Milhaud, 75019 Paris, France",Non renseigné,non,,,8.167402494173343,"48.8851755, 2.3925938",non
Pharmacie Bethoux Pouget,"Rue de Lunéville, 75019 Paris, France",Non renseigné,non,,,8.173683471265583,"48.8870513, 2.3871615",non
Pharmacie de l'Éden,"Rue Championnet, 75018 Paris, France",Non renseigné,non,,,8.181820417857612,"48.8940422, 2.332537",non
Pharmacie Fouché,"Boulevard d'Indochine, 75019 Paris, France",Non renseigné,non,,,8.188609513674068,"48.8838456, 2.3967316",non
Pharmacie des Epinettes,"Rue de la Jonquière, 75017 Paris, France",+33 1 46 27 06 03,non,,,8.198153620768611,"48.893576, 2.3234384",non
La petite pharma,"Rue Petit, 75019 Paris, France",Non renseigné,non,,,8.20719829689866,"48.8860701, 2.3911943",non
Pharmacie Népenthès,"Avenue de Clichy, 75017 Paris, France",Non renseigné,non,,,8.211748562648415,"48.8928875, 2.3164329",non
Pharmacie Zederman Fantin,"Rue du Poteau, 75018 Paris, France",Non renseigné,non,,,8.222171928771969,"48.894533, 2.341318",non
Pharmacie Les Orgues,"Rue Mathis, 75019 Paris, France",Non renseigné,non,,,8.226105234232316,"48.890559, 2.3759603",non
Pharmacie des fleurs,"Rue de la Jonquière, 75017 Paris, France",+33 1 46 27 08 86,non,,,8.244322127035886,"48.8938617, 2.3220769",non
Pharmacie Mathieu,"Rue André Messager, 75018 Paris, France",Non renseigné,non,,,8.255901094927204,"48.894808, 2.343062",non
Pharmacie du Smplon,"Boulevard Ornano, 75018 Paris, France",Non renseigné,non,,,8.259814362345137,"48.8946949, 2.3474146",non
Pharmacie de l'Aquarius,"Rue de Thionville, 75019 Paris, France",Non renseigné,non,,,8.2748766478089,"48.8891098, 2.3835643",non
Pharmacie des Jardins du Palais,"Rue Gilbert Cesbron, 75017 Paris, France",Non renseigné,non,,,8.279475000598122,"48.8931392, 2.3138666",non
Pharmacie Rubinstein,"105 Rue Damrémont, 75018 Paris, France",+33 1 46 06 65 42,non,,,8.293532438574218,"48.8951731, 2.3373305",non
Pharmacie de la Jonquière,"Rue Pouchet, 75017 Paris, France",Non renseigné,non,,,8.315324589458587,"48.8943508, 2.320594",non
SELARL Pharmacie du Marché,"Rue du Roi d'Alger, 75018 Paris, France",Non renseigné,non,,,8.318799662544633,"48.8952492, 2.346915",non
Pharmacie de la Place Cochet,"Avenue de la porte Chaumont, 75019 Paris, France",Non renseigné,non,,,8.342231522477661,"48.8862241, 2.3946584",non
Pharmacie Souied et Cie,"Avenue de Saint-Ouen, 75017 Paris, France",Non renseigné,non,,,8.352900936826158,"48.8953467, 2.32804",non
Univers Pharmacie,"Rue Duhesme, 75018 Paris, France",Non renseigné,non,,,8.35939921379548,"48.895662, 2.345742",non
Pharmacie de Paris,"Rue Eugène Jumin, 75019 Paris, France",Non renseigné,non,,,8.429478926898526,"48.8880598, 2.3919611",non
Pharmacie de la Porte de Saint-Ouen,"Passage Saint-Ange, 75017 Paris, France",Non renseigné,non,,,8.454913286305471,"48.8962874, 2.3283324",non
Pharmacie de La Géode,"Avenue de Flandre, 75019 Paris, France",Non renseigné,non,,,8.46091376020755,"48.8920825, 2.3790354",non
Pharmacie Bana,"Rue Tristan Tzara, 75018 Paris, France",Non renseigné,non,,,8.47994636231622,"48.8953218, 2.3625779",non
Pharmacie de l'Ourcq,"Rue de l'Ourcq, 75019 Paris, France",Non renseigné,non,,,8.516614104049228,"48.8929938, 2.3774104",non
Pharmacie Herboriste de Paris,"Petite Ceinture, 75018 Paris, France",Non renseigné,non,,,8.582986975865744,"48.897735, 2.3437738",non
Pharmacie de la Porte de Montmartre,"Boulevard Ney, 75018 Paris, France",Non renseigné,non,,,8.608073701760528,"48.8980076, 2.3378558",non
Pharmacie du Boulevard Ney,"144 Boulevard Ney, 75018 Paris, France",Non renseigné,non,,,8.608477148086747,"48.8980009, 2.3369345",non
Pharmacie Bichat,"Rue Henri Brisson, 75018 Paris, France",Non renseigné,non,,,8.608685729304831,"48.8979639, 2.3349302",non
Nom inconnu,"Rue de Crimée, 75019 Paris, France",+33140347308,non,,,8.611455832333222,"48.8948566, 2.3728256",non
Pharmacie Bessières,"Boulevard Bessières, 75017 Paris, France",Non renseigné,non,,,8.643955173620501,"48.8977669, 2.3251169",non
Pharmacie Ntsourankoua,"Avenue de la Porte de Clignancourt, 75018 Paris, France",Non renseigné,non,,,8.699119258615527,"48.8987788, 2.343828",non
Nom inconnu,"Boulevard Ney, 75018 Paris, France",Non renseigné,non,,,8.718868667494215,"48.8979862, 2.3586027",non
Pharmacie de Flandre,"Avenue de Flandre, 75019 Paris, France",+33 1 40 36 66 93,non,,,8.759572918162254,"48.8944168, 2.3812142",non
Pharmacie de la Porte d'Aubervilliers,"Boulevard Ney, 75018 Paris, France",Non renseigné,non,,,8.943339047051053,"48.8988269, 2.3678133",non
Pharmacie ZAC Claude Bernard,"Boulevard Macdonald, 75019 Paris, France",Non renseigné,non,,,9.199809795427315,"48.8990674, 2.3792714",non
